Date,Download,Upload
2017-01-22 00:43:01,0,0
2017-01-22 00:44:02,501,4692
2017-01-22 00:45:02,402,5178
2017-01-22 00:46:02,3193,6511
2017-01-22 00:47:02,3631,7080
2017-01-22 00:48:01,1045,6354
2017-01-22 00:49:01,7490,12158
2017-01-22 00:50:01,4194,7965
2017-01-22 00:51:01,7323,6967
2017-01-22 00:52:02,488,3202
2017-01-22 00:53:02,6195,9263
2017-01-22 00:54:02,790,5214
2017-01-22 00:55:02,1331,5856
2017-01-22 00:56:02,1610,5043
2017-01-22 00:57:02,3344,9324
2017-01-22 00:58:02,4672,7058
2017-01-22 00:59:01,6085,9694
2017-01-22 01:00:03,1295,7633
2017-01-22 01:01:02,7657,7778
2017-01-22 01:02:01,8743,7840
2017-01-22 01:03:02,6747,3620
2017-01-22 01:04:02,5459,5328
2017-01-22 01:05:02,2524,7622
2017-01-22 01:06:02,1285,4615
2017-01-22 01:07:02,5309,10196
2017-01-22 01:08:01,215,7091
2017-01-22 01:09:01,363,5691
2017-01-22 01:10:02,688,6035
2017-01-22 01:11:02,4956,6604
2017-01-22 01:12:02,1166,10389
2017-01-22 01:13:02,3962,7596
2017-01-22 01:14:02,0,0
2017-01-22 01:15:02,258,3497
2017-01-22 01:16:02,2806,4530
2017-01-22 01:17:02,2296,3985
2017-01-22 01:18:01,3191,7236
2017-01-22 01:19:03,169,3387
2017-01-22 01:20:02,4534,7096
2017-01-22 01:21:02,1440,5935
2017-01-22 01:22:01,2902,5510
2017-01-22 01:23:02,3671,5780
2017-01-22 01:24:02,2856,4377
2017-01-22 01:25:02,1797,4036
2017-01-22 01:26:02,2061,4760
2017-01-22 01:27:02,4561,6604
2017-01-22 01:28:02,2039,4646
2017-01-22 01:29:02,1253,2531
2017-01-22 01:30:02,560,2939
2017-01-22 01:31:06,2844,3690
2017-01-22 01:32:02,1945,2859
2017-01-22 01:33:02,1397,4451
2017-01-22 01:34:02,1829,4460
2017-01-22 01:35:02,1671,4868
2017-01-22 01:36:02,2644,3049
2017-01-22 01:37:01,1791,2227
2017-01-22 01:38:02,1612,3672
2017-01-22 01:39:02,509,3863
2017-01-22 01:40:02,1600,3107
2017-01-22 01:41:02,1888,2607
2017-01-22 01:42:02,349,3419
2017-01-22 01:43:02,2300,6722
2017-01-22 01:44:01,333,2594
2017-01-22 01:45:07,0,0
2017-01-22 01:46:02,1075,4595
2017-01-22 01:47:01,1007,6590
2017-01-22 01:48:02,339,8849
2017-01-22 01:49:02,1764,6267
2017-01-22 01:50:02,4686,9601
2017-01-22 01:51:02,1406,5320
2017-01-22 01:52:02,3460,7052
2017-01-22 01:53:01,2752,10141
2017-01-22 01:54:02,4344,10827
2017-01-22 01:55:13,0,0
2017-01-22 01:56:02,3277,6792
2017-01-22 01:57:02,3436,8724
2017-01-22 01:58:02,3873,7330
2017-01-22 01:59:01,4700,6051
2017-01-22 02:00:18,0,0
2017-01-22 02:01:02,6614,11271
2017-01-22 02:02:02,7455,15479
2017-01-22 02:03:02,5240,16175
2017-01-22 02:04:01,1514,11710
2017-01-22 02:05:02,3125,9524
2017-01-22 02:06:02,2152,11182
2017-01-22 02:07:01,1689,12755
2017-01-22 02:08:02,9003,8590
2017-01-22 02:09:02,1274,7459
2017-01-22 02:10:02,2886,2230
2017-01-22 02:11:02,1861,5637
2017-01-22 02:12:01,6109,11581
2017-01-22 02:13:02,191,4831
2017-01-22 02:14:02,200,5488
2017-01-22 02:15:01,599,11717
2017-01-22 02:16:02,428,6178
2017-01-22 02:17:02,799,3930
2017-01-22 02:18:03,1065,3381
2017-01-22 02:19:01,719,3036
2017-01-22 02:20:02,68,6567
2017-01-22 02:21:01,22,3586
2017-01-22 02:22:06,147,8951
2017-01-22 02:23:02,958,6572
2017-01-22 02:24:13,0,0
2017-01-22 02:25:01,2359,9833
2017-01-22 02:26:02,1965,11961
2017-01-22 02:27:02,664,7052
2017-01-22 02:28:02,136,6033
2017-01-22 02:29:01,734,6500
2017-01-22 02:30:01,1530,4435
2017-01-22 02:31:02,4364,7263
2017-01-22 02:32:01,1349,12314
2017-01-22 02:33:02,1185,2355
2017-01-22 02:34:01,3831,5609
2017-01-22 02:35:04,2238,6795
2017-01-22 02:36:02,869,3509
2017-01-22 02:37:02,1523,7002
2017-01-22 02:38:01,936,4876
2017-01-22 02:39:02,1736,11034
2017-01-22 02:40:02,2924,11255
2017-01-22 02:41:01,3981,10733
2017-01-22 02:42:02,4084,9486
2017-01-22 02:43:02,1506,9334
2017-01-22 02:44:01,2011,9757
2017-01-22 02:45:01,437,5613
2017-01-22 02:46:02,2585,8269
2017-01-22 02:47:01,3287,14064
2017-01-22 02:48:02,4158,11507
2017-01-22 02:49:02,8159,17696
2017-01-22 02:50:02,113,10698
2017-01-22 02:51:02,4833,11880
2017-01-22 02:52:02,5843,14086
2017-01-22 02:53:02,3151,13769
2017-01-22 02:54:01,310,9855
2017-01-22 02:55:02,0,0
2017-01-22 02:56:02,1888,11166
2017-01-22 02:57:02,152,3511
2017-01-22 02:58:01,8621,13334
2017-01-22 02:59:02,4894,10787
2017-01-22 03:00:02,2767,10930
2017-01-22 03:01:02,5055,18100
2017-01-22 03:02:02,4198,12431
2017-01-22 03:03:01,9433,11390
2017-01-22 03:04:01,7242,11078
2017-01-22 03:05:02,8194,8286
2017-01-22 03:06:02,7929,15182
2017-01-22 03:07:02,4125,11630
2017-01-22 03:08:02,3884,12173
2017-01-22 03:09:02,7039,7679
2017-01-22 03:10:01,4641,9639
2017-01-22 03:11:02,8837,14999
2017-01-22 03:12:01,5122,15947
2017-01-22 03:13:02,3533,10609
2017-01-22 03:14:02,218,12200
2017-01-22 03:15:02,145,11452
2017-01-22 03:16:01,2438,10785
2017-01-22 03:17:02,616,7512
2017-01-22 03:18:02,6828,10709
2017-01-22 03:19:02,1899,7644
2017-01-22 03:20:02,2039,8135
2017-01-22 03:21:02,2108,10119
2017-01-22 03:22:12,0,0
2017-01-22 03:23:12,0,0
2017-01-22 03:24:42,0,0
2017-01-22 03:25:42,0,0
2017-01-22 03:26:42,0,0
2017-01-22 03:27:42,0,0
2017-01-22 03:28:42,0,0
2017-01-22 03:29:42,0,0
2017-01-22 03:30:42,0,0
2017-01-22 03:31:27,0,0
2017-01-22 03:32:14,0,0
2017-01-22 03:33:02,2600,10388
2017-01-22 03:34:02,2375,9044
2017-01-22 03:35:01,6378,9164
2017-01-22 03:36:02,5659,5260
2017-01-22 03:37:02,2593,6142
2017-01-22 03:38:02,2752,7661
2017-01-22 03:39:02,2005,4430
2017-01-22 03:40:02,3187,5629
2017-01-22 03:41:02,7731,8925
2017-01-22 03:42:02,5713,10528
2017-01-22 03:43:01,7971,4992
2017-01-22 03:44:02,6827,9021
2017-01-22 03:45:01,4226,11346
2017-01-22 03:46:02,6803,8427
2017-01-22 03:47:02,6441,10558
2017-01-22 03:48:02,5361,9298
2017-01-22 03:49:01,8528,13505
