Date,Download,Upload
2017-01-22 00:06:02,6.7,9.95
2017-01-22 00:07:02,5.09,4.44
2017-01-22 00:08:02,7.25,6.12
2017-01-22 00:09:02,7.36,8.65
2017-01-22 00:10:02,7.67,8.29
2017-01-22 00:11:02,3.38,2.45
2017-01-22 00:12:02,7.22,6.09
2017-01-22 00:13:02,3.82,3.51
2017-01-22 00:14:02,0,0
2017-01-22 00:15:02,0.19,3.25
2017-01-22 00:16:01,0,0
2017-01-22 00:17:02,1.26,7.59
2017-01-22 00:18:02,0.14,3.68
2017-01-22 00:19:01,2.27,3.74
2017-01-22 00:20:02,4.27,7.64
2017-01-22 00:21:01,3.9,3.97
2017-01-22 00:22:02,0.21,3.38
2017-01-22 00:23:02,0,0
2017-01-22 00:24:02,1.08,4.58
2017-01-22 00:25:03,1.23,3.76
2017-01-22 00:26:02,0.61,3.77
2017-01-22 00:27:02,0.13,0.97
2017-01-22 00:28:02,0.15,2.03
2017-01-22 00:29:16,0,0
2017-01-22 00:30:02,0.34,2.3
2017-01-22 00:31:02,0.03,2.22
2017-01-22 00:32:01,0.2,1.22
2017-01-22 00:33:01,0.09,1.3
2017-01-22 00:34:01,0.19,2.39
2017-01-22 00:35:01,1.32,1.67
2017-01-22 00:36:02,0.51,4.64
2017-01-22 00:37:02,0.45,2.58
2017-01-22 00:38:02,0.05,3.55
2017-01-22 00:39:02,0.05,2.02
2017-01-22 00:40:16,0,0
2017-01-22 00:41:02,0.18,3.54
2017-01-22 00:42:02,0.12,0
2017-01-22 00:43:01,0,0
2017-01-22 00:44:02,0.49,4.58
2017-01-22 00:45:02,0.39,5.06
2017-01-22 00:46:02,3.12,6.36
2017-01-22 00:47:02,3.55,6.91
2017-01-22 00:48:01,1.02,6.2
2017-01-22 00:49:01,7.31,11.87
2017-01-22 00:50:01,4.1,7.78
2017-01-22 00:51:01,7.15,6.8
2017-01-22 00:52:02,0.48,3.13
2017-01-22 00:53:02,6.05,9.05
2017-01-22 00:54:02,0.77,5.09
2017-01-22 00:55:02,1.3,5.72
2017-01-22 00:56:02,1.57,4.92
2017-01-22 00:57:02,3.27,9.11
2017-01-22 00:58:02,4.56,6.89
2017-01-22 00:59:01,5.94,9.47
2017-01-22 01:00:03,1.26,7.45
2017-01-22 01:01:02,7.48,7.6
2017-01-22 01:02:01,8.54,7.66
2017-01-22 01:03:02,6.59,3.53
2017-01-22 01:04:02,5.33,5.2
2017-01-22 01:05:02,2.46,7.44
2017-01-22 01:06:02,1.25,4.51
2017-01-22 01:07:02,5.18,9.96
2017-01-22 01:08:01,0.21,6.93
2017-01-22 01:09:01,0.35,5.56
2017-01-22 01:10:02,0.67,5.89
2017-01-22 01:11:02,4.84,6.45
2017-01-22 01:12:02,1.14,10.15
2017-01-22 01:13:02,3.87,7.42
2017-01-22 01:14:02,0,0
2017-01-22 01:15:02,0.25,3.41
2017-01-22 01:16:02,2.74,4.42
2017-01-22 01:17:02,2.24,3.89
2017-01-22 01:18:01,3.12,7.07
2017-01-22 01:19:03,0.16,3.31
2017-01-22 01:20:02,4.43,6.93
2017-01-22 01:21:02,1.41,5.8
2017-01-22 01:22:01,2.83,5.38
2017-01-22 01:23:02,3.58,5.64
2017-01-22 01:24:02,2.79,4.27
2017-01-22 01:25:02,1.75,3.94
2017-01-22 01:26:02,2.01,4.65
2017-01-22 01:27:02,4.45,6.45
2017-01-22 01:28:02,1.99,4.54
2017-01-22 01:29:02,1.22,2.47
2017-01-22 01:30:02,0.55,2.87
2017-01-22 01:31:06,2.78,3.6
2017-01-22 01:32:02,1.9,2.79
2017-01-22 01:33:02,1.36,4.35
2017-01-22 01:34:02,1.79,4.36
2017-01-22 01:35:02,1.63,4.75
2017-01-22 01:36:02,2.58,2.98
2017-01-22 01:37:01,1.75,2.17
2017-01-22 01:38:02,1.57,3.59
2017-01-22 01:39:02,0.5,3.77
2017-01-22 01:40:02,1.56,3.03
2017-01-22 01:41:02,1.84,2.55
2017-01-22 01:42:02,0.34,3.34
2017-01-22 01:43:02,2.25,6.56
2017-01-22 01:44:01,0.33,2.53
2017-01-22 01:45:07,0,0
2017-01-22 01:46:02,1.05,4.49
2017-01-22 01:47:01,0.98,6.44
2017-01-22 01:48:02,0.33,8.64
2017-01-22 01:49:02,1.72,6.12
2017-01-22 01:50:02,4.58,9.38
2017-01-22 01:51:02,1.37,5.19
2017-01-22 01:52:02,3.38,6.89
2017-01-22 01:53:01,2.69,9.9
2017-01-22 01:54:02,4.24,10.57
2017-01-22 01:55:13,0,0
2017-01-22 01:56:02,3.2,6.63
2017-01-22 01:57:02,3.35,8.52
2017-01-22 01:58:02,3.78,7.16
